,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor on Ice,Home on Ice,Season,gameId,Visitor Goalie On Ice,Home Goalie On Ice,Visitor,Home,Visitor_Score,Home_Score,Against
20606,7,3,18:34,EV,FLA,63 E.DADONOV(25),3 K.YANDLE(45),5 A.EKBLAD(19),"['3', '5', '11', '16', '21', '63']","['2', '11', '22', '28', '31', '34']",2017,21186,False,True,FLA,TOR,3,4,TOR
20740,7,3,18:23,EV,CBJ,8 Z.WERENSKI(15),9 A.PANARIN(50),3 S.JONES(37),"['3', '8', '9', '13', '18', '28']","['20', '23', '35', '49', '51', '64']",2017,21208,False,True,CBJ,VAN,3,4,VAN
20741,8,3,18:39,EV,CBJ,13 C.ATKINSON(21),3 S.JONES(38),9 A.PANARIN(51),"['3', '8', '9', '13', '18', '26']","['20', '23', '35', '49', '51', '64']",2017,21208,False,True,CBJ,VAN,4,4,VAN
20794,4,2,9:50,EV,S.J,44 M.VLASIC(11),8 J.PAVELSKI(42),61 J.BRAUN(28),"['8', '28', '44', '50', '61', '62']","['3', '29', '71', '81', '88', '89']",2017,21217,False,True,S.J,VGK,2,2,VGK
20801,6,3,19:56,EV,BOS,37 P.BERGERON(30),42 D.BACKES(19),,"['37', '42', '46', '47', '63', '88']","['15', '17', '23', '34', '47', '51']",2017,21218,False,True,BOS,PHI,3,3,PHI
21000,7,3,5:42,EV,MIN,12 E.STAAL(41),24 M.DUMBA(35),9 M.KOIVU(30),"['6', '9', '11', '12', '24', '64']","['8', '9', '13', '22', '32', '53']",2017,21251,False,True,MIN,L.A,3,4,L.A
21054,5,3,19:19,PP,MTL,26 J.PETRY(12),11 B.GALLAGHER(23),92 J.DROUIN(33),"['11', '26', '27', '28', '41', '92']","['2', '11', '22', '31', '47']",2017,21259,False,True,MTL,TOR,2,3,TOR
21061,6,3,19:30,PP,NYI,6 R.PULOCK(10),13 M.BARZAL(63),12 J.BAILEY(53),"['6', '7', '12', '13', '29', '91']","['31', '41', '65', '71', '83']",2017,21260,False,True,NYI,DET,3,3,DET
21069,7,3,19:43,PP,BUF,90 R.O'REILLY(24),15 J.EICHEL(39),,"['15', '21', '23', '37', '55', '90']","['3', '5', '7', '21', '34']",2017,21261,False,True,BUF,FLA,3,4,FLA
21099,6,3,19:22,EV,STL,10 B.SCHENN(28),17 J.SCHWARTZ(35),21 P.BERGLUND(9),"['10', '17', '20', '21', '27', '29']","['12', '14', '16', '34', '45', '83']",2017,21266,False,True,STL,COL,2,4,COL
21277,2,3,18:29,EV,VGK,67 M.PACIORETTY(1),81 J.MARCHESSAULT(1),6 C.MILLER(1),"['6', '19', '26', '67', '71', '81']","['12', '16', '25', '40', '46', '64']",2018,20025,False,True,VGK,MIN,1,1,MIN
21509,8,3,18:51,EV,CAR,14 J.WILLIAMS(1),27 J.FAULK(4),20 S.AHO(6),"['11', '14', '20', '27', '79', '86']","['9', '12', '20', '21', '29', '40']",2018,20060,False,True,CAR,MIN,4,4,MIN
21566,3,2,12:35,EV,STL,10 B.SCHENN(1),43 J.SCHMALTZ(1),91 V.TARASENKO(1),"['10', '19', '43', '49', '90', '91']","['2', '8', '12', '30', '44', '88']",2018,20068,False,True,STL,CHI,1,2,CHI
21577,4,3,18:06,EV,CGY,28 E.LINDHOLM(4),unassisted,,"['4', '11', '18', '28', '55', '93']","['1', '12', '16', '22', '34', '83']",2018,20070,False,True,CGY,COL,2,2,COL
21664,4,3,19:23,EV,BUF,17 V.SOBOTKA(1),21 K.OKPOSO(3),19 J.MCCABE(1),"['17', '19', '21', '43', '72', '82']","['6', '15', '27', '29', '41', '92']",2018,20085,False,True,BUF,VGK,1,3,VGK
21736,8,3,9:20,EV,NYI,47 L.KOMAROV(1),51 V.FILPPULA(2),24 S.MAYFIELD(3),"['4', '12', '16', '24', '47', '51']","['3', '27', '28', '32', '44', '70']",2018,20097,False,True,NYI,L.A,6,2,L.A
22048,5,3,19:45,EV,FLA,68 M.HOFFMAN(5),3 K.YANDLE(8),63 E.DADONOV(6),"['3', '16', '21', '27', '63', '68']","['1', '9', '19', '21', '25', '28']",2018,20148,False,True,FLA,N.J,2,3,N.J
22102,5,3,19:18,EV,COL,92 G.LANDESKOG(10),96 M.RANTANEN(16),4 T.BARRIE(9),"['4', '10', '13', '29', '92', '96']","['9', '11', '20', '29', '40', '64']",2018,20156,False,True,COL,MIN,2,3,MIN
22127,5,3,19:23,EV,DAL,12 R.FAKSA(2),3 J.KLINGBERG(6),91 T.SEGUIN(9),"['3', '4', '12', '14', '90', '91']","['41', '43', '45', '51', '52', '83']",2018,20160,False,True,DAL,DET,2,3,DET
22161,2,3,19:04,EV,CGY,19 M.TKACHUK(5),28 E.LINDHOLM(5),23 S.MONAHAN(8),"['4', '5', '13', '19', '23', '28']","['6', '17', '22', '28', '40', '55']",2018,20167,False,True,CGY,BUF,1,1,BUF
