,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor_On_Ice,Home_On_Ice,Season,gameId,Visitor_Goalie_On_Ice,Home_Goalie_On_Ice,Visitor,Home,Visitor_Score,Home_Score,Difference
3822,3,1,19:40,EV,OTT, M.ZIBANEJAD, B.RYAN, M.METHOT,"['26', '34', '42', '46', '50', '71']","['3', '5', '6', '68', '90', '93']",2014,20691,True,False,TOR,OTT,0,3,3
4974,6,2,07:24,EV,CBJ, K.CONNAUTON, J.WISNIEWSKI, R.JOHANSEN,"['12', '17', '26', '34', '47', '61']","['4', '19', '21', '42', '56', '71']",2014,20898,True,False,BUF,CBJ,4,2,-2
5127,2,1,12:57,EV,MTL, T.PLEKANEC, A.MARKOV, P.SUBBAN,"['3', '21', '42', '45', '55', '81']","['14', '22', '49', '51', '76', '79']",2014,20928,True,False,TOR,MTL,0,2,2
5774,3,2,18:48,EV,MTL, D.DESHARNAIS, T.GILBERT, D.WEISE,"['7', '12', '15', '25', '31', '41']","['8', '14', '22', '51', '77', '79']",2014,21054,True,False,CAR,MTL,0,3,3
7459,2,1,09:12,EV,VAN, L.SBISA, S.BAERTSCHI,,"['17', '21', '28', '31', '32', '77']","['5', '33', '36', '44', '47', '53']",2015,20133,True,False,MTL,VAN,0,2,2
8415,3,2,11:54,EV,TOR, J.LUPUL, T.BOZAK, M.RIELLY,"['29', '33', '39', '40', '41', '48']","['2', '19', '21', '42', '43', '44']",2015,20312,True,False,BOS,TOR,2,1,-1
10262,1,1,18:37,EV,L.A, J.CARTER, T.TOFFOLI, J.MUZZIN,"['5', '6', '7', '41', '46', '61']","['6', '11', '17', '27', '73', '77']",2015,20661,True,False,OTT,L.A,0,1,1
10374,2,2,04:18,EV,NYR, D.STEPAN, R.NASH, C.KREIDER,"['17', '30', '44', '47', '53', '55']","['5', '10', '20', '21', '27', '61']",2015,20683,True,False,VAN,NYR,1,1,0
12119,1,1,01:00,EV,ANA, R.GETZLAF, D.PERRON, S.DESPRES,"['8', '9', '19', '44', '70', '77']","['7', '15', '17', '24', '45', '57']",2015,20991,True,False,WSH,ANA,0,1,1
13641,7,OT,03:12,EV,ARI, O.EKMAN-LARSSON, M.HANZAL, R.VRBATA,"['28', '32', '35', '93']","['11', '17', '19', '23']",2016,20028,True,False,PHI,ARI,3,4,1
14170,4,2,10:13,EV,CAR, J.SKINNER, R.HAINSEY, V.RASK,"['3', '10', '17', '23', '28', '30']","['16', '21', '27', '49', '53', '65']",2016,20125,True,False,PHI,CAR,2,2,0
14443,1,1,02:12,EV,NYR, K.HAYES, K.KLEIN, B.SKJEI,"['7', '13', '17', '37', '56', '71']","['8', '10', '13', '40', '73', '76']",2016,20177,True,False,WPG,NYR,0,1,1
14516,1,2,00:46,EV,NSH, J.NEAL, R.JOSI, P.SUBBAN,"['3', '5', '7', '41', '68']","['18', '59', '63', '76', '92']",2016,20190,True,False,OTT,NSH,0,1,1
